Packet Index,Category,Confidence,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6
34,LABEL_1,0.5433598160743713,35,3.077071,51.105.71.136,172.31.254.61,TCP,60,443  >  55963 [ACK] Seq=5162 Ack=2666 Win=4195328 Len=0
35,LABEL_1,0.5432532429695129,36,3.378593,172.31.254.61,34.104.35.123,TCP,66,55954  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
36,LABEL_1,0.5438403487205505,37,3.473885,172.31.254.24,255.255.255.255,IPv4,99,Unknown (241)
37,LABEL_1,0.5413908362388611,38,4.419003,ZyxelCom_fd:26:61,Broadcast,0x8899,60,Realtek Layer 2 Protocols
38,LABEL_1,0.5419604778289795,39,4.932776,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
39,LABEL_1,0.5435769557952881,40,5.701280,172.31.254.2,239.255.255.250,SSDP,211,M-SEARCH * HTTP/1.1 
40,LABEL_1,0.5425844192504883,41,6.552808,AsustekC_ca:1b:ac,Broadcast,ARP,60,Who has 172.31.254.1? Tell 172.31.254.7
41,LABEL_1,0.5434316396713257,42,6.714109,172.31.254.2,239.255.255.250,SSDP,211,M-SEARCH * HTTP/1.1 
42,LABEL_1,0.542677104473114,43,6.797398,AsustekC_ca:1b:ac,Broadcast,ARP,60,Who has 172.31.254.1? Tell 172.31.254.7
43,LABEL_1,0.5433592200279236,44,6.863844,AsustekC_ca:1b:ac,Broadcast,ARP,60,Who has 172.31.254.7? (ARP Probe)
44,LABEL_1,0.5431915521621704,45,6.869819,172.31.254.7,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.251 for any sources / Join group 239.255.255.250 for any sources
45,LABEL_1,0.5420650243759155,46,6.931867,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
46,LABEL_1,0.5431911945343018,47,7.369797,172.31.254.7,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.251 for any sources / Join group 239.255.255.250 for any sources
47,LABEL_1,0.5415017604827881,48,7.422108,ZyxelCom_fd:26:61,Broadcast,0x8899,60,Realtek Layer 2 Protocols
48,LABEL_1,0.5434958934783936,49,7.729183,172.31.254.2,239.255.255.250,SSDP,211,M-SEARCH * HTTP/1.1 
49,LABEL_1,0.543282151222229,50,7.857332,AsustekC_ca:1b:ac,Broadcast,ARP,60,Who has 172.31.254.7? (ARP Probe)
50,LABEL_1,0.5428562164306641,51,7.867913,172.31.254.7,224.0.0.22,IGMPv3,60,Membership Report / Join group 224.0.0.252 for any sources
51,LABEL_1,0.5424143075942993,52,8.109201,172.31.254.61,64.233.164.95,TCP,55,55877  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]
52,LABEL_1,0.542978048324585,53,8.193863,64.233.164.95,172.31.254.61,TCP,66,443  >  55877 [ACK] Seq=1 Ack=2 Win=1010 Len=0 SLE=1 SRE=2
53,LABEL_1,0.542803168296814,54,8.371522,172.31.254.7,224.0.0.22,IGMPv3,60,Membership Report / Join group 224.0.0.252 for any sources
54,LABEL_1,0.5423241853713989,55,8.695186,172.31.254.61,64.233.164.100,TCP,55,55897  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]
55,LABEL_1,0.5433294773101807,56,8.743551,172.31.254.2,239.255.255.250,SSDP,211,M-SEARCH * HTTP/1.1 
56,LABEL_1,0.5429899096488953,57,8.779101,64.233.164.100,172.31.254.61,TCP,66,443  >  55897 [ACK] Seq=1 Ack=2 Win=1042 Len=0 SLE=1 SRE=2
57,LABEL_1,0.5433523654937744,58,8.865497,AsustekC_ca:1b:ac,Broadcast,ARP,60,Who has 172.31.254.7? (ARP Probe)
58,LABEL_1,0.5419308543205261,59,8.932140,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
59,LABEL_1,0.5432859063148499,60,9.381723,172.31.254.61,34.104.35.123,TCP,66,55964  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
60,LABEL_1,0.5441690683364868,61,9.865171,AsustekC_ca:1b:ac,Broadcast,ARP,60,ARP Announcement for 172.31.254.7
61,LABEL_1,0.5428912043571472,62,9.876126,172.31.254.7,224.0.0.22,IGMPv3,60,Membership Report / Leave group 224.0.0.252
62,LABEL_1,0.5429278016090393,63,9.881788,172.31.254.7,224.0.0.22,IGMPv3,60,Membership Report / Join group 224.0.0.252 for any sources
63,LABEL_1,0.5437509417533875,64,9.944478,172.31.254.7,172.31.254.255,IPv4,167,Unknown (241)
64,LABEL_1,0.5437542200088501,65,9.944478,172.31.254.7,172.31.254.255,IPv4,167,Unknown (241)
65,LABEL_1,0.5438764691352844,66,10.157239,172.31.254.7,172.31.254.255,IPv4,167,Unknown (241)
66,LABEL_1,0.5433162450790405,67,10.157239,23.223.245.136,172.31.254.61,TLSv1.2,85,Encrypted Alert
67,LABEL_1,0.5431653261184692,68,10.157310,172.31.254.61,23.223.245.136,TCP,54,55956  >  443 [ACK] Seq=1 Ack=32 Win=1023 Len=0
68,LABEL_1,0.5427716374397278,69,10.157345,23.223.245.136,172.31.254.61,TCP,60,"443  >  55956 [FIN, ACK] Seq=32 Ack=1 Win=509 Len=0"
69,LABEL_1,0.543239414691925,70,10.157358,172.31.254.61,23.223.245.136,TCP,54,55956  >  443 [ACK] Seq=1 Ack=33 Win=1023 Len=0
70,LABEL_1,0.5429021716117859,71,10.157385,172.31.254.61,23.223.245.136,TCP,54,"55956  >  443 [FIN, ACK] Seq=1 Ack=33 Win=1023 Len=0"
71,LABEL_1,0.5434746742248535,72,10.174226,23.223.245.136,172.31.254.61,TLSv1.2,85,Encrypted Alert
72,LABEL_1,0.5430139899253845,73,10.174226,23.223.245.136,172.31.254.61,TCP,60,"443  >  55957 [FIN, ACK] Seq=32 Ack=1 Win=509 Len=0"
73,LABEL_1,0.5432640910148621,74,10.174281,172.31.254.61,23.223.245.136,TCP,54,55957  >  443 [ACK] Seq=1 Ack=33 Win=1023 Len=0
74,LABEL_1,0.542853593826294,75,10.174313,172.31.254.61,23.223.245.136,TCP,54,"55957  >  443 [FIN, ACK] Seq=1 Ack=33 Win=1023 Len=0"
75,LABEL_1,0.5436093807220459,76,10.289961,172.31.254.61,140.82.114.21,TLSv1.2,12241,Application Data
76,LABEL_1,0.5428849458694458,77,10.371046,172.31.254.7,224.0.0.22,IGMPv3,60,Membership Report / Join group 224.0.0.252 for any sources
77,LABEL_1,0.543045699596405,78,10.383700,172.31.254.61,34.104.35.123,TCP,66,[TCP Retransmission] 55964  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
78,LABEL_1,0.5415570735931396,79,10.424360,ZyxelCom_fd:26:61,Broadcast,0x8899,60,Realtek Layer 2 Protocols
79,LABEL_1,0.5432364344596863,80,10.436989,23.223.245.136,172.31.254.61,TCP,60,443  >  55956 [ACK] Seq=33 Ack=2 Win=509 Len=0
80,LABEL_1,0.5432080030441284,81,10.480454,140.82.114.21,172.31.254.61,TCP,60,443  >  55944 [ACK] Seq=1 Ack=2721 Win=178 Len=0
81,LABEL_1,0.5430455207824707,82,10.480692,140.82.114.21,172.31.254.61,TCP,60,443  >  55944 [ACK] Seq=1 Ack=5441 Win=183 Len=0
82,LABEL_1,0.543126106262207,83,10.480962,140.82.114.21,172.31.254.61,TCP,60,443  >  55944 [ACK] Seq=1 Ack=8161 Win=189 Len=0
83,LABEL_1,0.5431520342826843,84,10.481242,140.82.114.21,172.31.254.61,TCP,60,443  >  55944 [ACK] Seq=1 Ack=10881 Win=195 Len=0
84,LABEL_1,0.5434771776199341,85,10.481450,140.82.114.21,172.31.254.61,TLSv1.2,102,Application Data
85,LABEL_1,0.54334557056427,86,10.525722,172.31.254.61,140.82.114.21,TCP,54,55944  >  443 [ACK] Seq=12188 Ack=49 Win=510 Len=0
86,LABEL_1,0.5431610941886902,87,10.564935,23.223.245.136,172.31.254.61,TLSv1.2,85,Encrypted Alert
87,LABEL_1,0.5431222319602966,88,10.565005,172.31.254.61,23.223.245.136,TCP,54,55958  >  443 [ACK] Seq=1 Ack=32 Win=1023 Len=0
88,LABEL_1,0.5427411794662476,89,10.565033,23.223.245.136,172.31.254.61,TCP,60,"443  >  55958 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0"
89,LABEL_1,0.5431129336357117,90,10.565047,172.31.254.61,23.223.245.136,TCP,54,55958  >  443 [ACK] Seq=1 Ack=33 Win=1023 Len=0
90,LABEL_1,0.5427348613739014,91,10.565074,172.31.254.61,23.223.245.136,TCP,54,"55958  >  443 [FIN, ACK] Seq=1 Ack=33 Win=1023 Len=0"
91,LABEL_1,0.5433929562568665,92,10.588858,172.31.254.61,18.97.36.14,TLSv1.2,294,Application Data
92,LABEL_1,0.5427653789520264,93,10.650079,172.31.254.61,23.223.245.136,TCP,54,"[TCP Retransmission] 55957  >  443 [FIN, ACK] Seq=1 Ack=33 Win=1023 Len=0"
93,LABEL_1,0.5424976944923401,94,10.697563,172.31.254.61,74.125.205.101,TCP,55,55586  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1 [TCP segment of a reassembled PDU]
94,LABEL_1,0.5437102317810059,95,10.708949,172.31.254.7,172.31.254.255,IPv4,167,Unknown (241)
95,LABEL_1,0.5430399179458618,96,10.778586,18.97.36.14,172.31.254.61,TCP,60,443  >  55543 [ACK] Seq=25 Ack=269 Win=196 Len=0
96,LABEL_1,0.5434285998344421,97,10.778706,18.97.36.14,172.31.254.61,TLSv1.2,172,Application Data
97,LABEL_1,0.5430583953857422,98,10.781495,74.125.205.101,172.31.254.61,TCP,66,443  >  55586 [ACK] Seq=1 Ack=2 Win=982 Len=0 SLE=1 SRE=2
98,LABEL_1,0.5435919165611267,99,10.796972,140.82.114.21,172.31.254.61,TLSv1.2,516,Application Data
99,LABEL_1,0.5432314872741699,100,10.820244,172.31.254.61,18.97.36.14,TCP,54,55543  >  443 [ACK] Seq=269 Ack=143 Win=511 Len=0
100,LABEL_1,0.542407751083374,101,10.820261,172.31.254.61,142.251.1.132,TCP,55,55846  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]
101,LABEL_1,0.5431903600692749,102,10.831047,23.223.245.136,172.31.254.61,TCP,60,443  >  55958 [ACK] Seq=33 Ack=2 Win=501 Len=0
102,LABEL_1,0.5433228611946106,103,10.851817,172.31.254.61,140.82.114.21,TCP,54,55944  >  443 [ACK] Seq=12188 Ack=511 Win=515 Len=0
103,LABEL_1,0.5424886345863342,104,10.851838,172.31.254.61,74.125.205.95,TCP,55,55847  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1 [TCP segment of a reassembled PDU]
104,LABEL_1,0.5428910255432129,105,10.904590,142.251.1.132,172.31.254.61,TCP,66,443  >  55846 [ACK] Seq=1 Ack=2 Win=1029 Len=0 SLE=1 SRE=2
105,LABEL_1,0.5433586239814758,106,10.910863,23.223.245.136,172.31.254.61,TCP,60,443  >  55957 [ACK] Seq=33 Ack=2 Win=509 Len=0
106,LABEL_1,0.5418707728385925,107,10.932195,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
107,LABEL_1,0.5431288480758667,108,10.936176,74.125.205.95,172.31.254.61,TCP,66,443  >  55847 [ACK] Seq=1 Ack=2 Win=1002 Len=0 SLE=1 SRE=2
108,LABEL_1,0.543504536151886,109,11.474343,172.31.254.7,172.31.254.255,IPv4,167,Unknown (241)
109,LABEL_1,0.5426282286643982,110,11.920702,172.31.254.61,79.133.170.5,TCP,55,55727  >  443 [ACK] Seq=1 Ack=1 Win=64426 Len=1 [TCP segment of a reassembled PDU]
110,LABEL_1,0.5430188775062561,111,11.996449,79.133.170.5,172.31.254.61,TCP,60,443  >  55727 [ACK] Seq=1 Ack=2 Win=62529 Len=0
111,LABEL_1,0.5436016917228699,112,12.239796,172.31.254.7,172.31.254.255,IPv4,167,Unknown (241)
112,LABEL_1,0.5429599285125732,113,12.383888,172.31.254.61,34.104.35.123,TCP,66,[TCP Retransmission] 55964  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
113,LABEL_1,0.541817843914032,114,12.932486,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
114,LABEL_1,0.5435353517532349,115,12.990914,172.31.254.7,172.31.254.255,IPv4,167,Unknown (241)
115,LABEL_1,0.542475163936615,116,13.006042,172.31.254.61,79.133.171.13,TCP,55,55730  >  443 [ACK] Seq=1 Ack=1 Win=64102 Len=1 [TCP segment of a reassembled PDU]
116,LABEL_1,0.5429350137710571,117,13.077724,79.133.171.13,172.31.254.61,TCP,60,443  >  55730 [ACK] Seq=1 Ack=2 Win=59550 Len=0
117,LABEL_1,0.5423054099082947,118,13.209070,D-LinkIn_43:14:cd,9c:6b:00:63:6e:0a,ARP,60,Who has 172.31.254.61? Tell 172.31.254.1
118,LABEL_1,0.5430550575256348,119,13.209079,9c:6b:00:63:6e:0a,D-LinkIn_43:14:cd,ARP,42,172.31.254.61 is at 9c:6b:00:63:6e:0a
119,LABEL_1,0.5415083765983582,120,13.427079,ZyxelCom_fd:26:61,Broadcast,0x8899,60,Realtek Layer 2 Protocols
120,LABEL_1,0.5422331094741821,121,13.826045,172.31.254.2,224.0.0.251,MDNS,171,"Standard query response 0x0000 A, cache flush 172.31.254.2 NSEC, cache flush 374ca381-fd5f-4070-bf89-cb20b956d045.local"
121,LABEL_1,0.5415627956390381,122,13.826243,fe80::1bbc:ec74:f334:3e5a,ff02::fb,MDNS,191,"Standard query response 0x0000 A, cache flush 172.31.254.2 NSEC, cache flush 374ca381-fd5f-4070-bf89-cb20b956d045.local"
122,LABEL_1,0.5426254272460938,123,14.156831,172.31.254.61,79.133.169.27,TCP,55,55222  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1 [TCP segment of a reassembled PDU]
123,LABEL_1,0.5431963205337524,124,14.223601,79.133.169.27,172.31.254.61,TCP,60,443  >  55222 [ACK] Seq=1 Ack=2 Win=65535 Len=0
124,LABEL_1,0.5423566102981567,125,14.632476,172.31.254.61,64.233.161.188,TCP,55,54193  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]
125,LABEL_1,0.5430141687393188,126,14.716846,64.233.161.188,172.31.254.61,TCP,66,443  >  54193 [ACK] Seq=1 Ack=2 Win=1051 Len=0 SLE=1 SRE=2
126,LABEL_1,0.5422080755233765,127,14.829055,172.31.254.2,224.0.0.251,MDNS,171,"Standard query response 0x0000 A, cache flush 172.31.254.2 NSEC, cache flush 374ca381-fd5f-4070-bf89-cb20b956d045.local"
127,LABEL_1,0.5415148735046387,128,14.829457,fe80::1bbc:ec74:f334:3e5a,ff02::fb,MDNS,191,"Standard query response 0x0000 A, cache flush 172.31.254.2 NSEC, cache flush 374ca381-fd5f-4070-bf89-cb20b956d045.local"
128,LABEL_1,0.5425647497177124,129,14.911751,172.31.254.61,108.157.229.41,TCP,55,55876  >  443 [ACK] Seq=1 Ack=1 Win=1030 Len=1 [TCP segment of a reassembled PDU]
129,LABEL_1,0.5418493151664734,130,14.932637,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
130,LABEL_1,0.5429288744926453,131,14.997639,108.157.229.41,172.31.254.61,TCP,66,443  >  55876 [ACK] Seq=1 Ack=2 Win=136 Len=0 SLE=1 SRE=2
131,LABEL_1,0.5417095422744751,132,15.827108,172.31.254.2,224.0.0.251,MDNS,186,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush d70ba7da-a3d8-4b1b-b4d7-1cdc0c65291e.local"
132,LABEL_1,0.5411388874053955,133,15.827251,fe80::1bbc:ec74:f334:3e5a,ff02::fb,MDNS,206,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush d70ba7da-a3d8-4b1b-b4d7-1cdc0c65291e.local"
133,LABEL_1,0.5426191091537476,134,16.240490,172.31.254.61,79.133.171.13,TCP,55,55942  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1 [TCP segment of a reassembled PDU]
134,LABEL_1,0.5429793000221252,135,16.312450,79.133.171.13,172.31.254.61,TCP,60,443  >  55942 [ACK] Seq=1 Ack=2 Win=63711 Len=0
135,LABEL_1,0.5431721806526184,136,16.390154,172.31.254.61,34.104.35.123,TCP,66,[TCP Retransmission] 55964  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
136,LABEL_1,0.5414121150970459,137,16.429713,ZyxelCom_fd:26:61,Broadcast,0x8899,60,Realtek Layer 2 Protocols
137,LABEL_1,0.5426223874092102,138,16.511261,172.31.254.61,173.194.220.106,TCP,55,55574  >  443 [ACK] Seq=1 Ack=1 Win=4118 Len=1 [TCP segment of a reassembled PDU]
138,LABEL_1,0.5431398153305054,139,16.595205,173.194.220.106,172.31.254.61,TCP,66,443  >  55574 [ACK] Seq=1 Ack=2 Win=4026 Len=0 SLE=1 SRE=2
139,LABEL_1,0.541806161403656,140,16.826187,172.31.254.2,224.0.0.251,MDNS,186,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush d70ba7da-a3d8-4b1b-b4d7-1cdc0c65291e.local"
140,LABEL_1,0.5410938262939453,141,16.826468,fe80::1bbc:ec74:f334:3e5a,ff02::fb,MDNS,206,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush d70ba7da-a3d8-4b1b-b4d7-1cdc0c65291e.local"
141,LABEL_1,0.5418400764465332,142,16.932937,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
142,LABEL_1,0.5426616668701172,143,17.184136,Alcatel-_80:04:71,LLDP_Multicast,LLDP,60,MA/e8:e7:32:80:04:60 MA/e8:e7:32:80:04:71 120 
143,LABEL_1,0.5426294803619385,144,17.760619,172.31.254.61,108.157.214.72,TCP,55,55879  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]
144,LABEL_1,0.541976809501648,145,17.826311,172.31.254.2,224.0.0.251,MDNS,171,"Standard query response 0x0000 A, cache flush 172.31.254.2 NSEC, cache flush 005e1be9-0110-4eb1-af5b-f2f25eff9df4.local"
145,LABEL_1,0.5413370132446289,146,17.826553,fe80::1bbc:ec74:f334:3e5a,ff02::fb,MDNS,191,"Standard query response 0x0000 A, cache flush 172.31.254.2 NSEC, cache flush 005e1be9-0110-4eb1-af5b-f2f25eff9df4.local"
146,LABEL_1,0.5428994297981262,147,17.847406,108.157.214.72,172.31.254.61,TCP,66,443  >  55879 [ACK] Seq=1 Ack=2 Win=135 Len=0 SLE=1 SRE=2
147,LABEL_1,0.541944682598114,148,18.829314,172.31.254.2,224.0.0.251,MDNS,171,"Standard query response 0x0000 A, cache flush 172.31.254.2 NSEC, cache flush 005e1be9-0110-4eb1-af5b-f2f25eff9df4.local"
148,LABEL_1,0.5413409471511841,149,18.829740,fe80::1bbc:ec74:f334:3e5a,ff02::fb,MDNS,191,"Standard query response 0x0000 A, cache flush 172.31.254.2 NSEC, cache flush 005e1be9-0110-4eb1-af5b-f2f25eff9df4.local"
149,LABEL_1,0.5418934226036072,150,18.932964,Alcatel-_80:04:71,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:e0:b1:c9:42:f7  Cost = 4  Port = 0x740f
150,LABEL_1,0.5414177179336548,151,19.432709,ZyxelCom_fd:26:61,Broadcast,0x8899,60,Realtek Layer 2 Protocols
151,LABEL_1,0.541913628578186,152,19.826259,172.31.254.2,224.0.0.251,MDNS,186,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush b4f87156-1953-4503-9c68-c569e1bdaaa9.local"
152,LABEL_1,0.5412322282791138,153,19.826537,fe80::1bbc:ec74:f334:3e5a,ff02::fb,MDNS,206,"Standard query response 0x0000 AAAA, cache flush :: NSEC, cache flush b4f87156-1953-4503-9c68-c569e1bdaaa9.local"
153,LABEL_1,0.5422702431678772,154,19.988703,172.31.254.61,79.133.169.5,TCP,55,55931  >  443 [ACK] Seq=1 Ack=1 Win=65217 Len=1 [TCP segment of a reassembled PDU]
154,LABEL_1,0.5431661009788513,155,20.594786,172.31.254.61,77.88.8.8,DNS,75,Standard query 0x9825 A play.google.com
155,LABEL_1,0.5429717302322388,156,20.594852,172.31.254.61,77.88.8.8,DNS,75,Standard query 0x1dc3 Unknown (65) play.google.com
156,LABEL_1,0.5431471467018127,157,20.671762,77.88.8.8,172.31.254.61,DNS,125,Standard query response 0x1dc3 Unknown (65) play.google.com SOA ns1.google.com
157,LABEL_1,0.5439669489860535,158,20.677321,77.88.8.8,172.31.254.61,DNS,171,Standard query response 0x9825 A play.google.com A 64.233.165.138 A 64.233.165.101 A 64.233.165.139 A 64.233.165.113 A 64.233.165.102 A 64.233.165.100
158,LABEL_1,0.5424928665161133,159,20.677827,172.31.254.61,108.177.14.94,TCP,54,"55917  >  443 [FIN, ACK] Seq=1 Ack=1 Win=511 Len=0"
159,LABEL_1,0.5425596237182617,160,20.677870,172.31.254.61,108.177.14.94,TCP,54,"55919  >  443 [FIN, ACK] Seq=1 Ack=1 Win=511 Len=0"
